TEMPERATURE,WINDSPEED,ZENITH,DHI,DNI,POWER
20.6,6,64.03,62,923,46.7
20.1,5.4,68.2,58,880,58.6
17.9,4.4,72.84,52,817,49.2
15.7,3.3,77.84,43,715,39.8
15.7,3.3,83.13,31,550,22.2
12.4,3.3,88.51,13,237,0
12,3.5,94.6,0,0,0
11.5,3.8,100.54,0,0,0
11,4.1,106.61,0,0,0
10.6,4.4,112.78,0,0,0
9.8,4.3,119.03,0,0,0
8.9,4.1,125.34,0,0,0
8.1,3.9,131.68,0,0,0
7.3,3.8,138.04,0,0,0
6.5,3.8,144.36,0,0,0
5.8,3.8,150.61,0,0,0
5,3.6,156.68,0,0,0
4.3,3.4,162.36,0,0,0
3.6,2.9,167.07,0,0,0
2.9,2.4,169.41,0,0,0
2.3,2,167.91,0,0,0
1.7,1.6,163.59,0,0,0
1.4,1.4,158.07,0,0,0
1,1.1,152.06,0,0,0
0.9,1.1,145.84,0,0,0
0.7,1,139.53,0,0,0
0.4,1,133.17,0,0,0
0.2,1,126.82,0,0,0
-0.1,1.1,120.5,0,0,0
-0.4,1.1,114.23,0,0,0
-0.6,1.2,108.03,0,0,0
-0.8,1.2,101.93,0,0,0
0,1.3,95.95,0,0,0
0.9,1.4,89.65,0,0,0
2.5,1.6,84.34,26,533,22.6
4.1,1.7,79,67,269,41.7
5.8,1.3,73.91,47,818,53.2
7.6,1,69.17,52,886,60.8
8.6,1.2,64.86,56,931,59
9.6,1.5,61.09,60,962,57.3
10.2,1.5,57.95,62,983,57.2
10.8,1.4,55.57,67,992,57.5
11.3,1.3,54.04,68,1001,51.5
11.7,1.2,53.44,68,1004,47.8
12,1.2,53.8,68,1002,52
12.4,1.2,55.09,67,995,54.2
12.5,1.3,57.27,65,983,56.7
12.6,1.3,60.22,62,964,58.7
12.4,1.4,63.84,59,936,59.7
12.2,1.5,68.02,55,893,59.8
10.9,1.2,72.65,50,833,52.1
9.6,1,77.66,42,740,42.2
9.6,1,82.95,31,583,31.5
6.4,1.3,88.35,13,279,11
5.9,1.4,94.43,0,0,0
5.4,1.5,100.37,0,0,0
5,1.6,106.45,0,0,0
4.7,1.7,112.63,0,0,0
4.4,1.7,118.88,0,0,0
4.1,1.7,125.19,0,0,0
3.7,1.7,131.53,0,0,0
3.4,1.7,137.89,0,0,0
3,1.7,144.21,0,0,0
2.5,1.7,150.45,0,0,0
2.2,1.7,156.52,0,0,0
1.9,1.8,162.18,0,0,0
1.7,1.7,166.88,0,0,0
1.5,1.7,169.23,0,0,0
1.3,1.6,167.79,0,0,0
1.1,1.5,163.53,0,0,0
1.4,1.3,158.04,0,0,0
1.7,1.2,152.05,0,0,0
2.1,1.1,145.84,0,0,0
2.4,0.9,139.53,0,0,0
2.4,0.8,133.18,0,0,0
2.3,0.7,126.83,0,0,0
2.3,0.7,120.5,0,0,0
2.3,0.6,114.23,0,0,0
2.2,0.5,108.02,0,0,0
2.1,0.4,101.91,0,0,0
2.6,0.4,95.92,0,0,0
3.1,0.3,89.63,0,0,0
4,0.4,84.3,34,21,1.1
4.8,0.5,78.95,31,0,8.1
5.5,0.5,73.85,75,0,33.4
6.1,0.5,69.09,125,410,36.7
7.7,0.9,64.77,132,0,15.2
9.4,1.2,60.98,206,317,21.2
10.9,1.6,57.83,197,17,50.4
12.5,1.9,55.43,248,53,32.8
13.5,2.2,53.88,197,11,32.8
14.5,2.4,53.27,174,5,20.1
15.3,2.6,53.61,179,6,13.4
16.2,2.9,54.9,276,169,23.4
16.5,3,57.07,253,103,13.4
16.9,3.1,60.02,209,350,4.3
16.7,2.7,63.64,195,85,29.9
16.4,2.2,67.83,138,394,35.7
14.6,1.7,72.47,123,182,35.8
12.8,1.2,77.48,62,460,24.3
12.8,1.2,82.78,43,229,25.2
10.1,1.4,88.19,7,0,0
9.9,1.5,94.26,0,0,0
9.6,1.5,100.21,0,0,0
9.5,1.6,106.29,0,0,0
9.5,1.6,112.47,0,0,0
9.4,1.6,118.73,0,0,0
9.3,1.6,125.04,0,0,0
9.3,1.6,131.38,0,0,0
9.2,1.7,137.73,0,0,0
9,1.8,144.06,0,0,0
8.8,1.9,150.3,0,0,0
8.4,2,156.35,0,0,0
8.1,2.1,162,0,0,0
7.9,2.2,166.68,0,0,0
7.8,2.3,169.04,0,0,0
7.8,2.4,167.67,0,0,0
7.9,2.5,163.47,0,0,0
7.8,2.4,158.01,0,0,0
7.7,2.4,152.04,0,0,0
7.7,2.4,145.84,0,0,0
7.7,2.5,139.53,0,0,0
7.8,2.5,133.18,0,0,0
7.9,2.6,126.83,0,0,0
7.9,2.6,120.5,0,0,0
8,2.6,114.22,0,0,0
8,2.6,108.01,0,0,0
8.1,2.6,101.89,0,0,0
8.6,2.7,95.9,0,0,0
9,2.8,89.61,0,0,0
10.6,3.6,84.26,30,421,19
12.2,4.3,78.9,65,311,37.8
13.7,4.4,73.78,55,738,38.4
15.3,4.6,69.01,125,419,57.8
17,5.3,64.67,173,332,41.1
18.6,6,60.86,194,390,61.4
19.3,6.5,57.69,186,516,49.1
20,7,55.28,256,317,52.6
20.2,7.1,53.72,80,950,51.9
20.3,7.3,53.09,81,953,57.6
20.1,7.1,53.42,81,956,53.2
19.9,7,54.7,78,952,54.6
19.7,6.9,56.87,76,939,54.3
19.6,6.7,59.82,72,922,58.8
19.4,6.4,63.45,68,891,58.8
19.2,6,67.63,62,854,56.4
17.7,4.9,72.28,56,791,52.3
16.2,3.8,77.3,47,695,41.7
16.2,3.8,82.61,34,533,22.1
12.5,2.8,88.04,15,228,0
11.9,2.6,94.09,0,0,0
11.3,2.4,100.05,0,0,0
10.8,2.4,106.13,0,0,0
10.3,2.3,112.31,0,0,0
10,2.5,118.57,0,0,0
9.7,2.7,124.89,0,0,0
9.5,3,131.23,0,0,0
9.2,3.4,137.58,0,0,0
9,3.6,143.9,0,0,0
8.7,3.8,150.14,0,0,0
8.4,3.9,156.18,0,0,0
8.2,3.9,161.82,0,0,0
7.9,4,166.48,0,0,0
7.6,4,168.85,0,0,0
7.3,4,167.54,0,0,0
7.1,4.1,163.39,0,0,0
6.8,3.9,157.97,0,0,0
6.4,3.8,152.02,0,0,0
6.1,3.8,145.83,0,0,0
5.9,3.8,139.52,0,0,0
5.6,3.9,133.17,0,0,0
5.4,4,126.82,0,0,0
5.2,4.1,120.49,0,0,0
4.9,4.3,114.21,0,0,0
4.6,4.3,107.99,0,0,0
4.3,4.4,101.87,0,0,0
4.8,4.7,95.87,0,0,0
5.2,5,89.57,0,0,0
6.5,5.2,84.21,28,533,22.6
7.9,5.5,78.83,54,460,44.1
9.3,5.8,73.7,49,830,55.9
10.8,6.1,68.92,55,897,62.5
11.5,6.3,64.56,60,942,60.9
12.2,6.5,60.74,64,973,57.1
12.5,6.6,57.55,66,995,56.6
12.9,6.6,55.12,67,1010,56.3
13.2,6.6,53.54,69,1019,53.9
13.4,6.6,52.9,70,1011,53
13.6,6.6,53.22,70,1009,55.2
13.7,6.6,54.5,71,1000,56.9
13.6,6.7,56.66,69,988,59.4
13.5,6.8,59.61,64,973,62.9
13.1,6.9,63.24,61,944,61.5
